index,time,x,y,µØ´ÅY,µØ´ÅZ,´ÅÆ«½Ç,ÆøÑ¹,²½³¤,µ¥²½×ª¶¯½Ç,Æ«º½½Ç,¸©Ñö½Ç,¹ö×ª½Ç,,,,,,,,,,,,,,,,,,,,µØ´ÅY,µØ´ÅZ,´ÅÆ«½Ç,ÆøÑ¹,,,
3693,3280.164949,25.18269636,-32.77918914,16.94546804,-48.90552613,-1.237248362,996.249695,0.636811886,-0.082208726,-1.460504,0.032042,-0.069446,,,,,,,,,,,,,,,,,,,,29.8338876,-37.2266524,-0.895194975,997.700134,-1.20389,-0.202905,-0.098526
3737,3280.707708,24.53607216,-32.74924404,19.2140833,-50.95955344,-1.210233325,996.236877,0.647317206,0.020635222,-1.627133,-0.002691,-0.039348,,,,,,,,,,,,,,,,,,,,29.7811214,-37.26888431,-0.896611678,997.691711,-1.202381,-0.203268,-0.096834
3783,3281.275049,23.86323665,-32.6996814,20.41166951,-51.85174003,-1.195772171,996.24231,0.674658495,-0.027252721,-1.727684,0.000389,-0.054353,,,,,,,,,,,,,,,,,,,,30.41833655,-37.8199433,-0.893442843,997.691711,-1.198615,-0.205003,-0.09423
3825,3281.79312,23.19266514,-32.66968579,22.69287749,-50.9643278,-1.15188297,996.227661,0.671242044,0.028827939,-1.802753,-0.036422,-0.00828,,,,,,,,,,,,,,,,,,,,31.3773302,-37.98876902,-0.880423355,997.691711,-1.196392,-0.206789,-0.092804
3855,3282.163177,22.58194719,-32.683641,24.8502835,-49.83843511,-1.10825585,996.238708,0.610877374,0.067548149,-1.916471,0.021053,-0.034054,,,,,,,,,,,,,,,,,,,,31.39178509,-37.97680843,-0.880042574,997.691711,-1.192493,-0.209799,-0.092006
3905,3282.779922,21.93335081,-32.66065977,25.88702783,-46.65091875,-1.064191808,996.233582,0.649003384,-0.058263982,-1.879856,0.007601,-0.025443,,,,,,,,,,,,,,,,,,,,31.16387137,-37.96490398,-0.883464658,997.691711,-1.187221,-0.211551,-0.09266
3961,3283.470623,21.28923825,-32.67228001,27.30327323,-42.190525,-0.996432661,996.241882,0.644217378,0.053456196,-1.981582,0.023255,-0.060641,,,,,,,,,,,,,,,,,,,,31.26610584,-37.88078194,-0.880769181,997.691711,-1.187262,-0.212916,-0.09507
4004,3284.001028,20.63994375,-32.69898834,27.4043727,-39.67754284,-0.966354743,996.25061,0.649843581,0.023072453,-1.76962,-0.041874,-0.032632,,,,,,,,,,,,,,,,,,,,31.32552283,-37.83165538,-0.879199554,997.691711,-1.188271,-0.213003,-0.096765
4050,3284.568481,19.96796262,-32.73239656,25.80766396,-39.88310401,-0.996474714,996.247009,0.672811075,0.008563905,-1.808693,-0.021027,-0.040174,,,,,,,,,,,,,,,,,,,,31.62824754,-37.94703366,-0.875969106,997.691711,-1.19223,-0.212307,-0.097126
4092,3285.086496,19.32484799,-32.77433672,25.50498237,-40.90613931,-1.013276311,996.228882,0.644480731,0.015446815,-1.752485,-0.016162,-0.013926,,,,,,,,,,,,,,,,,,,,31.55192236,-38.01053339,-0.877978963,997.704224,-1.191884,-0.211523,-0.095232
4140,3285.678545,18.69583205,-32.82431505,25.84130958,-39.08082951,-0.98656893,996.225159,0.630998325,0.014166296,-1.813511,-0.056794,-0.067615,,,,,,,,,,,,,,,,,,,,31.56308926,-38.99880819,-0.890389347,997.704224,-1.186053,-0.210625,-0.091687
4184,3286.221322,18.04685045,-32.84142254,25.49734563,-39.14083642,-0.99341953,996.232178,0.649207043,-0.052933803,-1.696032,-0.037987,-0.046341,,,,,,,,,,,,,,,,,,,,31.24915774,-38.92096502,-0.89429717,997.704224,-1.183886,-0.209698,-0.084537
4231,3286.800986,17.37519931,-32.82657553,27.06576027,-38.05665936,-0.952595438,996.251404,0.67181521,-0.048456056,-1.681288,0.018787,-0.098714,,,,,,,,,,,,,,,,,,,,31.04549683,-39.08363405,-0.899519237,997.704224,-1.184025,-0.20692,-0.079931
4273,3287.319086,16.74453738,-32.80958594,27.3599307,-38.21819224,-0.949486923,996.245117,0.630890737,-0.004831148,-1.55708,-0.022091,-0.061313,,,,,,,,,,,,,,,,,,,,31.29311442,-39.50887284,-0.900920042,997.704224,-1.185715,-0.205851,-0.074484
4316,3287.849494,16.07720608,-32.81195125,27.25311897,-40.0309512,-0.973072017,996.254822,0.667335494,0.030477209,-1.643001,-0.026323,-0.115057,,,,,,,,,,,,,,,,,,,,31.24435287,-39.62087262,-0.903055746,997.704224,-1.195281,-0.205548,-0.072445
